gene_name,HH001_A1_SA_S1,HH001_B1_SA_S2,HH001_B3_SA_S3,HH003_A1_SA_S4,HH003_A3_SA_S5,HH003_B3_SA_S6,HH003_D_SA_S7,HH003_K_SA_S8,HH003_R_SA_S9
FBXW4,195.088,259.065,573.424,433.523,284.656,46.98,141.194,41.446,15.246
LINC01229,0,4,5,79,35.001,20,42.321,8,1
Z82185.1,0,0,6,5,0,0,4,0,0
AF274855.1,0,7,1,20,9,3,23,8,1
AC098483.1,2,3.5,10,57.947,25,19.45,28.989,6,4
DSC2,655.648,328.411,636.227,1741.917,453.738,178.304,366.708,69.044,25.895
LINC00032,8.034,15.571,24.13,151.47,32.61,29.999,55.016,12,7
BX284668.3,2,1.346,0,14.951,5.363,1.528,7.454,1.078,1.515
AC073137.1,0,0,2,7,5,7,6,1,0
AL137026.2,0,2,0,4,3,1,6,1,2
IGHD2-15,0,0,0,0,1,1,1,0,0
ARID1B,1668.319,1353.877,4311.455,4825.739,1518.832,558.03,1374.18,298.842,157.917
MEOX1,1,1,5,46,11,6,22,3,0
BRCC3,80.745,88.999,313.103,405.323,93.049,82.78,132.115,27.403,5.214
RNU6ATAC41P,0,3,0,9,0,1,2,0,0
AC093001.1,23.513,10.421,95.663,197.104,51.115,53.886,62.693,16.022,9.757
HOXA2,0,1,59,102,30,16,27,5,1
KRTAP13-3,0,1,2,9,2,0,6,1,0
AC012613.2,1,6,23,125.836,30,41,39.154,33,3
VWA5B2,4,8,12,59,13,18,44.999,8,3
AP001528.3,26.526,36.83,114.39,285.45,105.501,91.273,95.402,31.881,20.431
AC023824.6,1,0,0,18,6,1,11,0,0
VWC2L-IT1,0,0,3,14,13,3,4,3,0
MIR448,0,0,0,3,0,0,0,0,0
HPX,0,4,18,103,27.999,35,48,10,5
AL122018.1,1.006,1,3,18.156,8.053,8,17,3,0
P3H2,7.304,20.542,66.966,240.151,88.709,41.253,78.358,24.76,12
AC007292.2,15.278,19.572,80.4,100.233,48.675,17.251,30.694,8.031,4.047
AC008687.3,0,2,3,23,1.086,0,3,2,0
RIMBP3B,0,0,15.772,32.295,23.746,0,14.603,12.5,2.067
VDAC2P1,0,0,2,11,1,3,7,1,1
ZNF347,249.402,332.688,795.257,1329.655,474.154,288.158,402.293,126.917,44.388
RNA5SP382,0,1,0,1,0,0,0,0,1
RN7SKP222,0,3.164,12,54,9,7,17,5,2
AL133406.3,0,2,7,25,4,28,15,9,0
BUD23,159.929,223.748,579.915,535.753,262.526,86.565,200.815,56.073,13.055
AC005943.1,0,0,0,0,0,0,0,0,0
AC023394.1,0,0,0,23,5,10,0,0,1
TREML1,27,87,134,289,84.001,19.001,32,16,5
AP001107.9,35.006,59.947,110.181,230.062,72.438,30.148,84.216,16.577,12.292
BCAS2,60,35.729,120.266,149.176,38.894,37.747,64.464,11,3
SRP19,287.305,290.738,872.5,953.117,238.324,86.739,207.123,55.828,20.998
AL024497.2,0,2,4,11,4,9,5,5,2
RFX5,217.071,195.347,414.842,434.479,115.12,47.609,131.331,16.168,14
AC021231.1,0,4,5,30,6,11,18,3,1
AL358933.1,8,11,36.329,99.366,31,56,34,26,5
GALNT7,281,176.001,636.694,926.125,187.082,100.999,301.485,34.999,24
SEPT14P8,67.23,0,0,0,0,0,37.113,0,0
CACNA1F,8.451,11.096,101.011,171.195,43.067,31.163,75.339,17.938,3.555
AL049749.1,0,0,1,5,6,2,8,2,3
AC017079.2,0,0,0,15.013,2,0,4,2,0
DERL3,80.001,94,100,44,7,11,29,5,5
AC009908.1,0,1,0,7,5,2,2,1,0
AC090983.1,101.855,146.815,218.091,329.028,104.496,79.853,111.958,34.94,11.395
AC006065.1,0,2,1,19,4,5,2,1,4
LINC01585,5.473,20.591,67.597,126.642,43.501,26.113,48.947,10.844,8.413
CRYBA1,0,0,17,45,13,7,17,3,1
LINC01364,0,0,15,31,11,2,14,7,0
U6,42.013,25.542,116.628,120.415,81.223,33.214,39.453,8.107,2
NDUFAF4P2,0,2,4,16,5,11,7,0,3
AC087222.1,13,27,36,24,8,1,16,3,0
NPHS1,6.271,7.429,50.533,133.553,51.59,29.41,63.289,16.61,7.459
MTND2P33,0,1,1,67,12,12,18,4,1
AC016542.1,46,27,117,45,25,8,21,3,0
CLIP2,44.1,58.918,235.366,289.745,103.612,44.653,90.143,27.727,5
AC072039.1,0,0,3,13.026,3,10,9,0,0
CRISP1,0,6,15,107,36,27,26,7,4
AC128716.1,0,0,0,1,0,0,5,1,0
C9orf72,3164.999,2180.001,5334,5834,2243,286.001,1178,141.001,112
LINC02279,3,0,3,29,3,17,1,2,1
MIR136,0,0,0,0,0,0,0.959,0,0
CNOT11,87.001,63,776.001,1284,210.492,21,347,14.999,4
MYLK-AS1,18,8,14.763,30.975,13,6,7,7,0
AC009560.1,0,1,0,10,4,3,2,1,1
ARF4P4,0,1,0,21,3,10,9,1,4
RNU4-41P,0,1,0,1,3,2,0,0,0
MTND1P8,0,2,11,44,15,4,20,1,2
LUC7L3,1223.53,731.792,1736.999,1715.001,560,174.999,685,111,72.999
RNU6-1105P,0,0,0,2,0,0,0,0,0
AL591503.1,66.639,67.862,81.311,182.055,46.502,14.132,52.011,4.729,3.625
ELK2BP,1,3,0,21.037,4.687,5,2.044,6,0
RPS2P1,4,0,1.029,10.331,2.039,1,2,1,0
RNU6-491P,0,0,1,5,2,1,1,0,0
URI1,164.001,154.001,380,430,140.001,70,177.001,46.001,18.001
RPL6P2,0,1,16,23,6.872,9,3,3,0
AC004944.1,2,9,49,201.603,47.589,48,94.254,33,10
AC104985.1,0,0,1.764,2,0,0,0,0,0
AL161457.2,54.617,57.998,142.164,530.155,147.981,91.053,239.713,39.21,20.224
AL008638.6,56.49,73.895,335.317,933.232,349.548,445.709,346.106,174.108,63.534
AC000123.2,19,3,26.813,57.911,9.067,2,24.14,2,1
AC010632.1,1,2,4.133,5.024,2.029,1,4,0,0
GANAB,729.651,917.913,1497.94,927.498,547.652,77.995,317.448,67.151,27.823
AC211433.2,0,3,1,3,1,0,10,0,0
AC010319.2,0,0,0,0,0,0,0,0,0
HUNK,89.827,121.196,340.139,618.476,197.921,129.975,204.733,69.795,15.227
AC073488.8,0,0,4.162,24.528,6.046,15.396,0,2.981,0
AC007405.2,2,1,0,14.008,6,11,7.602,1,0
AC008805.1,0,0,0,3,0,0,1,2,0
CNTN2,81.674,138.921,547.539,718.157,250.06,170.368,196.886,86.082,19.225
NPAP1P4,0,9,18,64,21,7,36,4,1
AC117505.1,0,0,4,15.032,8.477,2,7,3,2
OFD1P10Y,0,6,0,25.782,0,11.644,4.527,7.657,0
AC034205.1,0,1,3,15,5,4,4,2,0
LINC01897,2,2,8,35,5,0,5,1,0
C5AR2,1740.435,2778.125,5471.059,2933.397,1635.621,379.251,927.147,393.308,103.069
ZNF217,2149.999,1469,4333.333,4216.524,1305.662,204,1372.757,222,118
AL008718.2,4,4,20,38,6,4,13.16,1,1
ARR3,0,2,9,34,9,6,16,4,2
AL138963.1,7,14,50,30,6,7,3,3,1
FAM174B,138,156,363.694,462.771,172.54,102.999,122.151,72.892,16
RN7SL496P,17.017,14,34.058,25.701,25.048,8,9,5,7
AC093816.1,0,1.018,0,9.208,3.413,0,2,1.073,0
AC231532.1,0,1,0,4,0,1,0,0,0
AC109464.3,0,0,0,5,3,0,2,2,0
HSF5,10,16,38,98,35,39,44,18,5
AC021549.1,2,0,8.459,37,16,9,13,4,0
AL671855.1,13,4,18,47,21,6,12,8,1
CDC27,548.775,589.611,2089.634,8027.317,2275.477,1668.845,2360.262,825.848,280.818
RNU6-755P,0,0,0,0,0,0,2.296,0,0
OR7A8P,0,0,4,20.248,2.057,1,7.156,0,1
TMEFF2,0,14,26,179.001,54,79,69,11,14
RNU6-301P,0,0,0,5,0,0,2,0,0
RN7SL561P,1.268,4.085,16.229,24.984,1.973,15.41,13.727,4.637,0
AC104350.1,1,0,5,31,9.502,29,8,6,2
AL031599.1,0,2,5,20,3,9,5,2,0
ATP6V1F,66,78,170.962,149.673,79.888,12,28,9,4
AC024603.1,0,0,4,4.531,2.481,4,5,1,0
AC107918.3,0,0,1,16,5,3,3,1,0
CASKIN1,1,3,7.592,39.311,15.963,15,23.412,7,1
AC093249.6,14,9,15.392,21.119,10.697,7,7.623,2,0
CKAP2,52,53,86,161,51.001,43.999,85.001,15,8
SURF1,72.001,78.999,125.001,85,42,12,22,13,2
FAM41C,262.299,165.142,699.384,1277.929,358.759,92.048,302.122,53.046,13.756
SNHG27,0,10.033,8.968,139.493,27.805,61.784,52.41,21.025,7.776
LINC01745,0,0,0,12,2,3,5,1,2
PRMT5P1,0,1,4,8,2,4,5,0,1
HOTTIP_3,0,0,0,0,0,0,0,0,0
PCDHAC1,8,20,52.006,81.381,24.009,33.411,31.107,16,9
AP003392.4,34.547,53.592,110.417,93.628,50.303,14.804,28.134,7.684,4.208
AC010183.1,1,1,2,13,4,3,3,0,0
RNU6-74P,1,0,1.504,12.33,0,4.087,0,0,0
RN7SL505P,21,34,72,46.732,10.87,4,8,0,0
RPL23AP11,0,3,277.57,125,71,2,34,1,0
TRBJ2-2P,0,0,3,0,0,0,0,0,0
GALC,920.776,619.684,1611.071,2366.362,742.405,171.528,516.549,122.711,50.278
AC021483.1,16,13,44,52,13,6,15,4,2
AL390039.1,0,2.325,3.514,10.206,2.616,6.407,4.562,2.832,0
CRYBB2,0,0,1.007,9.128,3.029,3.019,7.095,2,0
SPATA17,80.127,133.766,336.943,745.269,221.26,185.772,288.891,62.692,18
RNA5SP376,20,12,11,2,6.029,10,2,1,0
AC239367.1,0,0,2,2,1,3,1.215,1,0
AC034229.5,0,0,1,7,7,1,2,0,0
AC090774.2,0,1,2.966,0,0,1,5.657,0,0
ACVR2B,77.053,157.796,334.915,539.967,180.118,170.501,268.839,82.832,39.479
RPS7P4,0,1.022,4.114,19.948,4,7,9.416,3,0
AC015922.1,0,9.926,7,50.969,24,40.217,20.624,6.952,2.167
AL591806.2,0,0,24,9,2,1,7,1,0
AC233724.11,0,0,1,1,0,0,2,0,0
AL162258.2,23.695,30.002,79.218,99.145,32.013,5.023,32.119,9.21,1
AC094108.1,0,2,5.565,24.097,18.531,7.73,13.624,5,1
PIGCP1,0,0,40.744,49.325,6.669,2,20.453,2,0
TRHR,0,3,6,43,8,8,17,8,0
OR5BB1P,0,2,9,34,7,4,16,0,1
LINC01093,5,3,5,29,11,4,9,2,0
LINC02038,1,0,3,21,4,4,5,4,0
AC093159.1,0,0,1,13,3,0,3,1,1
ATP5LP3,0,0,2.079,2.038,2,3,3,2,0
SNHG12,241.869,268.582,399.798,334.699,198.965,26.761,135.187,44.668,7.041
PXDNL,15,18,56,146,36,28,57,18,5
ZNF260,142.197,120.815,277.485,447.215,127.348,86.485,150.475,42.329,21.767
TFF1,0,0,0,8,2,0,4,2,0
AL353796.1,109.927,146.736,319.12,523.416,155.02,86.981,177.263,50.387,13.771
KRT3,1,4,11,32.294,4,8.379,27.775,2.238,2
CMPK1,492.146,390.276,2046.493,1377.769,420.483,79,317.455,89.001,62.001
RNU5A-1,178022.602,96165.309,64510.703,8080.025,23118.538,49060.342,1781.209,5195.366,1482.135
AC004542.2,0,1,116.946,70.454,21.481,8,29.037,0,0
OIP5-AS1,1634.083,1512.653,4129.135,3967.065,1616.763,473.337,1326.918,256.189,146.887
AL392046.2,2.04,1.227,26.81,79.044,20.48,28.092,49.515,5,1.44
AC011500.3,4.444,0,4.747,10.694,0,0,0,2,0
AC006077.1,0,0,7,19,5,3,7,0,0
PRAP1,20.311,20.46,29.328,28.757,13.771,9.856,13.913,8.535,1.003
LAMTOR3P2,0,0,24.415,18.908,4,0,8.439,2,0
AL023806.1,4.001,2,29.006,32.547,11.217,19.005,13.281,9.005,2
AP002799.1,0,0,0,7,2,1,5,0,0
IFNA10,0,1.142,2,14.524,5.126,10.311,9.107,1.233,1
PHBP5,0,0,52.584,37.56,18.949,0,12.335,0,2.047
RHOC,89.999,40.999,92.383,137.651,61.067,19,54,15,6
RN7SL124P,49,55.89,94.77,92.937,51,8,17,8,1
AC008700.1,0,0,4,45,14,4,18,3,4
MTCO1P7,0,1.24,15.884,67.588,15.513,6.619,31.363,5,2
LINC01006,21,31,46,62,31,25,29,7,8
SNORD115-2,0,0,0,0,0,0.5,0,0,0
PEAR1,12,39,37,161.143,45,35,67.075,20,4
RPL7P8,0,3.052,1.006,11.045,4.023,10.261,8,3.385,1
RN7SL569P,0,5,8,8,3,8,4,1,0
SLC9A3P3,3,1,5.844,25.968,6.671,4,12,1,1
AC012254.3,0,3,59.124,162.145,42.107,16,48.113,9,1
RN7SL691P,0,1.016,0,1,1,1,2,0,0
PLCB2-AS1,0,1,114.922,57.05,43.466,1,20.254,0,1
LINC02172,17.986,26.905,52.932,112.126,30.781,43.303,47.841,19.183,2.828
PHBP1,0,1,0,8.04,8,1,5,0,1
AC004461.1,0,0,67,30,17,0,11,0,1
AL162431.1,1,3,6,21,13,3,2,1,0
AC093510.1,6,6,8,11,4,2,8,2,0
C2orf80,16.033,35.518,49.178,83.239,22.746,17.2,33.603,11,1
AC010595.1,11.508,35.758,39.225,124.802,39.494,35.292,49.499,3.711,6.747
AC024614.3,0,0,1,6,1,5,4,0,0
MIR181C,0,1,0,1,1,3,0,0,0
SNORD115-4,0,0,0,1.065,0,0,0,0,0
AC068769.1,0,3,4,43,21,30,22,5,7
MTND1P18,0,2,4,18.356,8,6,5.185,1,2
FGF10,1,6,11,84.653,30.049,32,33,16,4
OR4A40P,0,4,2,30.545,4.269,8.257,9.411,3,2
TEPP,27.23,31.124,54.067,150.822,56.116,27.094,55.435,8.122,2
ZNF761,118.777,158.964,387.82,377.607,139.105,60.857,147.26,54.968,17.315
ZNF135,12.571,22.167,56.088,140.176,41.356,36.074,54.392,21.432,6.013
RRNAD1,109.913,114.948,261.343,277.816,129.413,27.037,76.486,21.12,5
LINC00327,9.66,24.34,53.625,115.28,36.656,46.323,43.297,18.941,5.367
AL109618.3,0,1,1,5,0,3,3,1,0
AL589993.1,13,11,19,67,15,16,24,20,3
INTS3,746.1,638.657,2263.29,1733.819,685.874,188.727,622.6,107.564,29.67
AC243732.1,1.002,1,186.437,75.222,66.578,4.066,33,1.005,0
MIR6739,0,0,1,9,2,0,1,0,0
KANK4,0,8,15,90.001,19,26,30.001,4,5
AF067845.5,1,0,6,11,1,3,8,0,0
GHR,109.688,139.912,273.423,515.037,183.868,113.757,161.328,40.49,14.144
RNA5SP402,0,0,0,7,1,1,1,0,2
RPS5P7,0,0,1,8,0,0,4,1,0
UBE2W,1983.006,1541.528,5029.43,4364.924,1503.855,252.776,783.789,240.504,113.414
RPS15,243.358,195.446,873.921,820.706,288.759,53.495,162.855,37.197,9
AC010680.3,18,18,27.089,40.423,10.713,3,9.624,3,1
SNORD114-11,0,0,0,2,1,4,0,0,0
AC125238.1,0,0,3,10.531,0,6,1,1,0
MIR100,0,0,0,6,0,0,1,0,0
IGFBP2,119.078,138.489,198.677,300.695,109.126,48.403,104.772,21.494,9.572
RPL21P24,0,1,1,14,9,14,6,2,0
RNA5SP246,5,2,3,4,5,2,3,2,0
PCOTH,0,0,0,11.738,0,2.268,2.208,3,0
RPL21P2,0,1.074,1.041,8.26,1.058,5.396,2.064,1.034,0
LINC02508,0,0,0,12,4,1,4,0,0
AC004466.1,3,1,35.422,16.77,8.359,3,10.935,0,1
DHX16,131,128,302,315,129.001,35,84,22,9
AC008738.1,9.367,20.478,34.416,75.558,18.703,3.9,21.337,5.504,1.065
AL162425.1,1,3,6,43,19,8,5,4,1
OR7E11P,1.019,7.834,11.58,78.446,21.387,23.274,17.88,11,7
RIBC1,2,3,10,44,19,12,17,4,2
AL137025.1,42.206,70.448,284.633,389.147,118.492,80.4,108.211,32.056,0
LINC00029,0,2,8,35,8,4,11,3,0
ZWILCH,46.59,59.935,227.074,330.835,104.497,60.594,109.05,46.793,12.863
KRTAP9-9,1,0,0,17.901,3.309,2,4.856,0,0
RGL3,13.102,9.282,38.419,100.391,30.364,24.042,37.915,11.664,6
AL161452.1,0,1,1.026,6.354,5.406,2,8.066,0,0
PFN1P10,0,0,0,2.818,2.72,0,6.584,0,0
AC138696.1,0,3.556,0,0,0,0,0,0,0
ALG1L,0,24.905,23.668,41.843,12.275,7.561,11.074,0,3
ANKRD53,2,1,19,33,16,7,27,5,1
MTND4P9,2,4,12,54,16,3,14,1,2
BASP1,836,360.201,686.885,2555.708,362.857,99.422,497.728,76.722,17.306
AC099062.1,9.767,40.107,88.839,293.183,74.982,97.624,111.934,35.308,9.934
AC078881.1,16.695,32,91.415,220.917,78.148,57.138,84.875,27.142,11.194
ANKRD26P4,1,7,4,24,7,13,8,3,1
AC008126.1,0,0,2.15,14.24,3.56,8.172,10.729,0,0
AL353777.1,0,0,0,8,2,0,3,1,0
EXOSC7,102.607,128.668,244.612,229.312,92.44,58.044,108.65,19.72,14.929
ACVRL1,29.526,21.985,43.319,138.785,30.82,18.115,43.936,11.277,6.155
CC2D2B,41.011,58.932,191.533,458.593,102.469,97.695,118.069,36,13.413
AL355483.1,0,0,0,1,3.84,0,1,0,0
AL691482.2,0,0,0,0,2,0,0,0,0
AC127537.3,4,5,27,16,10,0,14,1,0
CLIP3,5,8,32,98,27,13,44.999,11,3
AL591848.2,1,4,2,7,1,3,1,0,1
VWA3A,1,7,24.001,116,40,28,29,12,2
RNF19BPX,0,0,0,10.121,0,6,3,1,2.93
GRIK2,74.316,89.831,179.194,401.273,131.25,83.868,202.912,37.91,10.014
ASPRV1,101,100.259,150.944,83.471,34.545,9.268,15.558,6,1.086
RPS12P2,0,1,2,0,0,5,5,0,0
CBFA2T2,350.197,386.817,1029.16,1101.765,384.257,161.59,344.291,100.12,27.874
TRGC2,22.374,10.304,79.415,70.466,15.383,0,17.146,2.171,2.442
AC108751.4,7.924,12.535,80.414,191.714,77.026,17.129,59.839,9,6.185
AL161785.3,0,2,0,10.566,4,1.392,0,0,0
GALNT4,469.864,298.18,1131.287,1172.883,386.408,120.86,315.655,50.943,0
AP003385.4,0,1,2,9,4,2,4,0,0
TRAJ54,0,0,1,9,1,0,0,0,2
DWORF,1.152,21.424,85.445,95.886,48.145,33.133,26.043,10.448,1.344
AC025947.1,0,0,1,7,2,1,5,0,0
ABHD8,17,14,17.604,41.395,8,2,11,6,2
AC116667.2,19,17,119.064,97.072,39.996,15,36.558,7,2
PCGF1,44.214,45.269,131.978,151.28,50.464,18.546,46.374,11.732,9.66
AC023632.6,37.237,28.463,103.227,156.51,49.371,47,40.868,16,7
RNU2-1,1312355.7,778249.579,543810.715,85433.097,114346.63,305664.892,14158.075,60003.928,11542.121
METTL12,81.936,138.184,241.495,264.826,93.412,76.989,107.377,35.754,10.238
STX6,530.523,410.435,1233.042,1350.178,410.974,122.801,339.629,64.675,24.061
MIR4281,0,0,0,1,0,0,1,1,0
AL357315.2,20.742,19.74,82.149,138.685,60.567,49.9,65.679,17.529,8.021
AC015689.2,0,7,3,62.46,15.174,31.352,27.735,4.191,1
AC027627.1,1,2,4,49,8,11,14,4,0
ZDHHC24,344.62,438.896,799.425,741.437,310.731,85.74,261.393,58.925,20.426
SNHG10,77.354,86.998,124.41,121.994,47.22,18.417,36.428,9.749,3.497
ASB16,23.498,26.525,76.892,100.799,46.376,9.213,34.266,3.693,4.143
AC091133.1,1,1,0,0,0,2,0,0,0
AL079301.1,0,1,2,18,7,12,9,2,2
Z82195.1,0,0,0,8,1,1,0,1,0
MIR548E,10,6,10,12,5,2,0,1,0
NOS1,78.767,123.34,563.067,926.467,277.787,196.791,257.209,105.24,29.287
KBTBD7,207.357,104.924,369.316,408.834,159.845,89.594,119.681,23,8.348
AC072046.2,0,0,0,6,6,1,2,5,1
AC004812.1,0,2,0,3,0,1,4,0,0
F8,11,21,31,170,28,47,52.308,22.999,7
NELFE,44,27.999,84.013,104.026,34.026,25,54.019,4,9
AL591479.1,0,5.87,9,39.22,16.732,17.391,20.935,6.651,0
RPS3AP49,0,0,2.055,9.227,2.147,5.68,0,0,3
C20orf96,6,14,25,43,23,12,37,7,3
AL139008.2,8.666,17.663,39.577,48.529,17.744,6.021,12.422,0,0
APPL2,205.213,155.032,1115.819,1421.046,345.37,55.469,409.993,26.009,11
RNA5SP419,0,0,2,7,3,0,1,0,0
AL162385.1,0,1,8,57,10,5,10,5,4
AL645504.1,4,4,11,53,6,10,19,4,1
AC113382.1,1,2,6.294,19.362,6.16,0,8.122,2,1
CCRL1P1,0,0,0,5.223,7.184,7.044,5.819,0,0
TIMM50,266.092,350.103,975.818,1667.68,580.293,268.38,579.806,128.085,35.031
AL365258.2,0,0,14.387,17.264,7.381,7,6.688,0,0
MTND4LP14,10,11,24,96.484,27.662,0,20,1,2.077
FAM227A,128.015,144.287,711.323,1040.096,380.746,192.092,398.717,76.701,27.977
AL355076.1,0,0,2,10,6,1,3,0,0
LINC01832,0,0,1,23,6,3,8,1,0
AC023034.2,0,0,5,20,11,5,3,1,0
AC087894.3,0,1,2,18.633,7,9,1,5,0
ZNF20,87.419,61.811,211.443,236.715,75.483,25.776,78.2,16.916,3.471
AC063977.4,0,0,2,15,0,0,7,0,0
KRTAP26-1,0,0,6,46,7,3,14,6,1
HDHD5,98.87,114.371,158.906,178.867,80.443,34.678,83.176,21.034,5
AC124784.1,0,1,1,10,1,0,7,1,1
AC011294.1,18.275,40.202,281.559,876.095,236.111,174.394,364.982,66.464,17.56
AP003680.1,43.978,50.788,155.348,280.085,104.055,57.555,120.458,29.886,7.186
FASTK,122,89,99,103,37,13,40,5,5.999
AC011595.1,29,15,39.708,92,39.921,13,44,7,2
AC021534.1,0,0,0,4,2,2,2,1,2
RNA5SP242,425.836,401.714,1781.917,949.91,1809.705,271.691,213.968,133.898,36.499
PGLYRP4,6,1,5,59,25,7,16,3.457,3
AC012669.1,0,1,0,15,4,12,8,3,2
SERPINB1,997.268,611.331,1650.567,5731.545,893.665,130.418,763.192,92.265,35.62
SPZ1,0,1,12,70,13,24,17,7,2
PHC1,68,52.93,108.587,230.626,54.958,57.457,83.219,27,7
SNORA78,460.884,259.793,232.783,79.985,80.854,205.986,19,45.962,3
MIR518A2,0,0,1,8,0,0,0,0,0
TRABD2A,259.559,474.655,1106.983,949.152,362.703,209.16,415.933,114.517,47.281
AC117503.1,0,0,11,7,7,0,0,0,1
PIWIL3,18.304,35.712,40.305,197.231,49.756,30.462,64.324,15.122,8
AC005186.1,1,2,0,20,3,6,4,1,0
UBDP1,0,0,0,9,5,4,2,2,2
AC009268.2,13,9,10,26,6,4,4,0,3
AC008667.3,0,1,4,23,8,5,12,4,7
AC006947.1,35.106,37.771,68.651,80.663,35.025,7.454,26.584,9.53,3
AC016738.1,1,2,9.606,52.499,19.042,8,29.035,18,6
AL117187.1,2,3,11,10,3,0,2,1,0
LTB4R2,80.383,60.427,136.761,180.632,80.542,21.531,67.9,20.43,4
RN7SKP129,0,0,5,19,8,5,9,2,0
AC233263.1,0,1,1.607,3.174,1,0,3.928,2,0
OR5M5P,0,1,4,12,12,8,12,4,0
SNORD114-23,0,0,0,0,0,0,0,0,0
AC003958.2,6.054,15.251,63.003,95.288,30.468,22.199,30.433,3.135,4
LINC02151,0,1,2,22,4,5,4,1,1
ARHGEF6,359.827,186.757,801.941,1845.325,251.182,71.433,395.474,43.362,11.297
AC112249.1,0,0,0,4,2,1,0,0,0
AC136628.3,4,3,2,5,1,4,5,0,2
AP000889.2,0,2,0,25.196,10,5,6,5,1
TMEM44,32.591,42.883,100.552,159.437,56.56,38.006,87.975,23.143,8.778
BCAP29,106.545,63.337,244.211,482.694,159.479,82.213,193.941,46.724,11.528
AC005144.1,0,2,0,27,7,9,16,10,0
PLG,37.521,58.256,210.788,477.3,133.907,101.992,158.776,36.25,8.566
AC073873.1,0,0,0,1,4,0,0,0,0
AC027673.1,0,1,0,8,1,1,3,2,0
EIF3LP3,0,0,7.797,11.401,4.264,6,3,2,0
PPIL1,17,18,42,56,8,19,22.28,7,4
OR13J1,0,0,6,16,3,4,6,3,1
FOXJ1,0,1,4,30,6,4,9,5,1
AC022196.1,0,3,3,14,7,4,3,2,1
CTSO,74,42,112,321,82,39,88,15,7
AC090502.3,0,5,6,47,9,7,8,4,2
LINC02315,1.001,1,3.005,12.026,3.049,9.018,8.021,1,4
AC078906.1,12.708,29.137,162.252,442.909,158.878,83.353,167.126,41.076,13.651
TSPAN2,135,73,364.999,575.001,117,49,181,22,8
PHF23,148,144,367.999,391.999,122.569,40,120.569,29.999,10
CRP,1,2,4,65,21,11,21,6,4
ADNP-AS1,1,1,25,65,25,4,16,7,0
AC005154.3,31.772,23.671,112.992,281.369,70.706,58.291,130.101,26.048,2.593
AC104777.2,2,3,49,46,11,16,10,1,1
MIR7853,0,0,0,1,0,1,1,1,1
AC110023.1,0,2,2,7,0,11,2,1,6
CPQ,492,294.265,1205.063,2328.374,550.213,246.632,654.568,111.984,42.251
NTF3,0,3,6,64,8,24,19,3,2
AC015908.3,1,3,4,23.785,10,1,14.937,2,0
AC017104.1,3,6,11,21,4,5,11,2,0
MIR6727,0,0,0,0,0,0,0,0,0
KCNJ11,21.636,27.188,65.492,137.95,36.561,13.758,42.092,9.689,10.368
APLF,31,35,218.193,421.849,136.825,92.984,166.971,48.966,15
AC099489.2,3,2,12,27,6,1,3,0,2
POLA2,118.728,182.77,451.506,333.67,114.373,41.802,111.647,30.693,11.652
AC008575.2,33.403,18.345,20.424,45.345,14.139,44.923,8.191,9.704,2.77
SHC1,252.564,274.303,532.56,455.763,145.829,50.415,145.518,27.692,8.817
HSP90AA1,358.647,191.968,630.159,838.488,244.468,165.132,319.015,77.266,28.189
GPR89P,2.008,2,4,25,6.038,7,13,4,0
AC008850.1,3,3,11,20,12,12,6,1,0
NDUFB9P1,0,0,7,12,2,4,3,4,0
DMBT1,5,8,13,146,50,30,52,15,7
AC245052.4,27.614,30.832,132.431,198.461,66.766,28.632,78.5,18.262,7.244
AC104187.1,1,1,8.263,8.177,1.014,2,6.699,4,0
PCMTD1P1,0,2.53,3.052,18.244,4.188,11.88,5.941,0,0.5
AL445187.1,0,0,1,11,1,3,7,2,1
AKIRIN1P1,0,0,4,9,3,5,2,1,0
CYP2C58P,1,0,1,2.015,2,5,4,4,2
MMAB,79.101,98.216,398.414,524.647,160.437,85.148,173.249,36.705,17.277
AC087477.2,24.129,44.198,85.315,255.414,61.314,53.333,82.768,26.048,10.243
DNM1P47,20.38,16.439,31.615,215.356,49.801,68.209,88.085,29.895,4.107
CLDN9,36,24,42,67,22,10,17,6,1
MYH10,11.007,14.144,1125.917,1011.394,343.38,53.232,387.147,33.926,12
LARP1B,149.999,118,330.767,572.439,185.809,145.896,197.676,55,32.001
AC005552.1,0,1,3,32,3,6,9,4,0
POLE,231.882,366.176,1030.823,1061.385,410.419,195.617,411.291,101.15,31.948
SNHG6,107.986,109.898,221.172,136.38,71.369,34.14,39.223,23.177,8
AC090819.1,0,2,2,22,9,8,14,4,0
ZNF273,253.353,337.849,562.94,800.563,275.592,129.799,316.769,79.695,22.31
VN1R88P,0,0,2,4,0,3,0,0,0
AL713866.1,32.916,38.641,197.472,424.574,187.367,128.338,147.497,46.472,7.706
EIF4A1P3,0,0,1,10,2.466,0,0,1,2
RNA5SP437,0,1,0,4,1,1,4,0,0
ZDHHC17,2013.897,1382.88,4234.209,2839.613,889.72,210.583,678.784,132.574,77.999
CCND3,791.34,672.696,1629.273,973.322,496.689,118.002,270.727,74.999,36.999
TMEM9B-AS1,63.335,68.679,319.595,303.293,112.854,13.964,110.65,28.527,5.978
AC138969.2,10.269,25.415,43.254,73.64,23.951,9.584,53.8,0,7.124
MTND2P19,0,1,7,67,9,19.839,25,5,3
MAGEA3,0,3,6,12.888,5.183,10.248,7.143,6,2
